Gender,Age,Hours,mph,finish_all
F,27,4.3106,6.0825,935
F,42,4.3106,6.0825,936
F,38,4.3128,6.0793,938
F,29,4.3139,6.0778,940
F,27,4.3139,6.0778,941
F,30,4.3144,6.077,944
F,31,4.3156,6.0754,945
F,38,4.3161,6.0746,947
F,30,4.3167,6.0738,950
F,41,4.3183,6.0715,951
F,34,4.3222,6.066,952
F,27,4.325,6.0621,954
F,48,4.3256,6.0614,955
F,35,4.3278,6.0582,958
F,49,4.3331,6.0509,961
F,26,4.3339,6.0497,962
F,46,4.3342,6.0493,963
F,34,4.3394,6.042,964
F,40,4.3397,6.0416,965
F,29,4.345,6.0342,968
F,30,4.3489,6.0288,972
F,47,4.3494,6.0281,973
F,50,4.3506,6.0265,974
F,56,4.3542,6.0215,975
F,45,4.3581,6.0162,977
F,27,4.3606,6.0127,980
F,37,4.3639,6.0081,981
F,19,4.3647,6.007,983
F,32,4.3686,6.0016,985
F,27,4.3714,5.9978,989
F,24,4.3717,5.9974,990
F,39,4.3717,5.9974,991
F,47,4.3719,5.997,992
F,41,4.3719,5.997,993
F,48,4.3725,5.9963,994
F,39,4.3725,5.9963,995
F,52,4.3733,5.9951,996
F,53,4.3756,5.9921,999
F,52,4.3817,5.9837,1001
F,34,4.3856,5.9784,1002
F,24,4.3858,5.9781,1003
F,38,4.3878,5.9754,1004
F,49,4.3892,5.9735,1006
F,36,4.3919,5.9697,1009
F,42,4.3944,5.9663,1010
F,34,4.3958,5.9645,1011
F,45,4.3964,5.9637,1012
F,41,4.3972,5.9626,1014
F,48,4.4014,5.9569,1016
F,33,4.4081,5.9479,1021
F,42,4.4094,5.946,1022
F,47,4.4117,5.943,1023
F,49,4.4117,5.943,1024
F,23,4.4178,5.9348,1026
F,33,4.4181,5.9345,1027
F,40,4.4219,5.9292,1030
F,29,4.4222,5.9289,1031
F,41,4.4247,5.9255,1034
F,52,4.4253,5.9248,1035
F,50,4.4292,5.9196,1036
F,45,4.4297,5.9188,1037
F,32,4.4303,5.9181,1038
F,22,4.4367,5.9096,1040
F,31,4.4372,5.9088,1042
F,33,4.4414,5.9033,1045
F,35,4.4469,5.8959,1048
F,46,4.4481,5.8944,1051
F,48,4.4517,5.8896,1052
F,30,4.4531,5.8878,1053
F,29,4.4533,5.8874,1054
F,33,4.4542,5.8863,1055
F,46,4.4625,5.8754,1059
F,37,4.4661,5.8706,1063
F,33,4.4667,5.8699,1064
F,34,4.4672,5.8691,1065
F,30,4.4769,5.8564,1069
F,44,4.4775,5.8557,1071
F,49,4.4778,5.8553,1072
F,51,4.4792,5.8535,1073
F,31,4.4797,5.8528,1074
F,34,4.4825,5.8491,1078
F,60,4.4864,5.8441,1082
F,54,4.4892,5.8404,1083
F,38,4.4894,5.8401,1084
F,48,4.4894,5.8401,1085
F,37,4.4917,5.8372,1087
F,27,4.4944,5.8336,1088
F,47,4.4961,5.8314,1091
F,49,4.4992,5.8275,1095
F,39,4.5003,5.826,1096
F,39,4.5006,5.8257,1097
F,35,4.5008,5.8253,1098
F,29,4.5033,5.8221,1099
F,46,4.5044,5.8206,1100
F,32,4.5047,5.8203,1101
F,18,4.5086,5.8153,1103
F,48,4.5086,5.8153,1104
F,43,4.51,5.8135,1105
F,40,4.5108,5.8124,1106
F,43,4.5111,5.812,1108
F,36,4.5111,5.812,1109
F,39,4.5114,5.8117,1111
F,60,4.5119,5.811,1112
F,45,4.5214,5.7988,1119
F,59,4.5272,5.7914,1120
F,23,4.53,5.7878,1123
F,25,4.5317,5.7857,1124
F,56,4.5339,5.7828,1126
F,52,4.5358,5.7804,1127
F,18,4.5364,5.7797,1128
F,53,4.5364,5.7797,1129
F,33,4.5467,5.7666,1132
F,38,4.5497,5.7627,1137
F,46,4.5553,5.7557,1140
F,23,4.5569,5.7536,1142
F,62,4.5572,5.7532,1143
F,30,4.5586,5.7515,1144
F,46,4.5586,5.7515,1145
F,41,4.5614,5.748,1146
F,52,4.5644,5.7441,1147
F,40,4.5669,5.741,1149
F,53,4.5681,5.7396,1150
F,31,4.5681,5.7396,1151
F,33,4.5692,5.7382,1152
F,66,4.5694,5.7378,1153
F,44,4.5697,5.7375,1154
F,51,4.5722,5.7344,1155
F,42,4.575,5.7309,1157
F,53,4.5756,5.7302,1158
F,41,4.58,5.7246,1161
F,49,4.5808,5.7236,1163
F,48,4.5831,5.7208,1164
F,44,4.59,5.7121,1165
F,51,4.5906,5.7115,1166
F,61,4.5908,5.7111,1167
F,23,4.5925,5.709,1168
F,34,4.5956,5.7052,1171
F,50,4.6017,5.6977,1173
F,45,4.6128,5.6839,1177
F,38,4.6178,5.6778,1179
F,29,4.6186,5.6768,1180
F,33,4.6186,5.6768,1181
F,42,4.6211,5.6737,1182
F,42,4.6219,5.6727,1183
F,36,4.6244,5.6696,1184
F,42,4.6244,5.6696,1185
F,39,4.6261,5.6676,1186
F,52,4.6289,5.6642,1188
F,50,4.6292,5.6638,1189
